timestamp,lat,lon,alt,alt_ellipsoid,delta_alt,vel_n,vel_e,vel_d,yaw,eph,epv,terrain_alt,lat_lon_reset_counter,alt_reset_counter,terrain_alt_valid,dead_reckoning
42084000,47.3977422615,8.54559398213,548.177,57.9153,-0.0,-0.036754,-0.00447697,-2.9467,0.00797353,2.29802,2.40034,0.0,2,0,0,0
42284000,47.3977422165,8.54559394741,548.763,58.4814,-0.0,-0.0335559,-0.00355983,-2.88928,0.00829347,2.29802,2.40035,0.0,2,0,0,0
42476000,47.3977421744,8.54559391085,549.3,58.9982,-0.0,-0.0314481,-0.00455241,-2.72318,0.00848179,2.29795,2.40031,0.0,2,0,0,0
42668000,47.397742139,8.54559386899,549.81,59.4876,-0.0,-0.0303032,-0.00223341,-2.55981,0.00862186,2.29865,2.40037,0.0,2,0,0,0
42860000,47.3977421032,8.54559383942,550.289,59.9471,-0.0,-0.0280671,-0.00120118,-2.3919,0.00841776,2.29858,2.40033,0.0,2,0,0,0
43052000,47.3977420718,8.54559382618,550.74,60.3782,-0.0,-0.025971,0.0026653,-2.24572,0.00823816,2.29851,2.40042,0.0,2,0,0,0
43244000,47.3977420378,8.54559382079,551.164,60.7822,-0.0,-0.0217622,0.00323331,-2.10138,0.00847579,2.29843,2.40037,0.0,2,0,0,0
43436000,47.397742005,8.54559382767,551.562,61.16,-0.0,-0.0166806,0.00321383,-1.96397,0.00796343,2.29836,2.40033,0.0,2,0,0,0
43628000,47.397741976,8.54559382768,551.933,61.511,-0.0,-0.0160854,0.00433757,-1.84367,0.00772049,2.29828,2.40042,0.0,2,0,0,0
43828000,47.3977419413,8.54559381061,552.292,61.8499,-0.0,-0.0188993,0.000650526,-1.72724,0.00770605,2.29827,2.4003,0.0,2,0,0,0
44020000,47.3977419109,8.54559377863,552.613,62.1508,-0.0,-0.0154027,-0.00120857,-1.63126,0.00804585,2.2982,2.40039,0.0,2,0,0,0
44212000,47.3977418896,8.54559375354,552.915,62.4432,-0.0,-0.00853495,0.00192259,-1.54359,0.00870006,2.29813,2.40035,0.0,2,0,0,0
44404000,47.3977418796,8.54559372958,553.2,62.7081,-0.0,-0.00655565,0.00348461,-1.46104,0.00895793,2.29807,2.4003,0.0,2,0,0,0
44596000,47.397741878,8.54559371781,553.471,62.9586,-0.0,-0.00152986,0.010218,-1.3811,0.00871022,2.298,2.40039,0.0,2,0,0,0
44788000,47.3977418895,8.54559373322,553.727,63.1949,-0.0,0.000304405,0.0156035,-1.30248,0.00848824,2.29794,2.40035,0.0,2,0,0,0
44980000,47.3977419065,8.54559374654,553.968,63.4156,-0.0,0.00325217,0.0185216,-1.22998,0.00806823,2.29788,2.4003,0.0,2,0,0,0
45172000,47.3977419242,8.54559375162,554.194,63.6223,-0.0,0.000434499,0.015905,-1.16222,0.00797963,2.29782,2.40026,0.0,2,0,0,0
45364000,47.3977419317,8.54559374971,554.408,63.816,-0.0,0.000760145,0.0143313,-1.0946,0.0082809,2.2985,2.40045,0.0,2,0,0,0
45556000,47.3977419447,8.54559374599,554.609,63.9968,-0.0,-0.000697935,0.0148689,-1.03431,0.0082862,2.29844,2.40041,0.0,2,0,0,0
45748000,47.3977419607,8.54559374681,554.8,64.1674,-0.0,-0.000541937,0.0150713,-0.979424,0.00830768,2.29838,2.40037,0.0,2,0,0,0
45940000,47.3977419799,8.54559374242,554.978,64.3257,-0.0,-0.00285044,0.0132754,-0.921889,0.00865425,2.29832,2.40045,0.0,2,0,0,0
46132000,47.3977420067,8.54559373208,555.144,64.4717,-0.0,-0.00358586,0.0125934,-0.879648,0.00832652,2.29826,2.40041,0.0,2,0,0,0
46324000,47.3977420282,8.5455937182,555.303,64.6111,-0.0,-0.00654431,0.0131059,-0.834458,0.00832357,2.2982,2.40036,0.0,2,0,0,0
46516000,47.3977420581,8.54559371351,555.454,64.7417,-0.0,-0.00693463,0.0152159,-0.791412,0.00753098,2.29815,2.40044,0.0,2,0,0,0
46708000,47.3977420825,8.54559370545,555.598,64.8754,-0.0,-0.010548,0.0151108,-0.747451,0.00763953,2.29809,2.40039,0.0,2,0,0,0
46900000,47.3977420977,8.54559371418,555.732,64.9897,-0.0,-0.0108247,0.0183087,-0.708129,0.00789044,2.29804,2.40035,0.0,2,0,0,0
47092000,47.3977421072,8.54559371717,555.86,65.0977,-0.0,-0.0129112,0.020188,-0.669988,0.00799206,2.29798,2.4003,0.0,2,0,0,0
47292000,47.3977421297,8.54559370656,555.987,65.2047,-0.0,-0.0106305,0.023401,-0.630014,0.00799855,2.29799,2.40031,0.0,2,0,0,0
47484000,47.3977421612,8.54559369318,556.105,65.3022,-0.0,-0.0097483,0.0227377,-0.588386,0.00831374,2.29793,2.40039,0.0,2,0,0,0
47676000,47.3977421978,8.54559371133,556.212,65.39,-0.0,-0.0112147,0.0246043,-0.549802,0.00839183,2.29788,2.40035,0.0,2,0,0,0
47868000,47.3977422208,8.54559373794,556.313,65.4702,-0.0,-0.0159626,0.0247563,-0.516611,0.00840773,2.29857,2.4004,0.0,2,0,0,0
48060000,47.3977422284,8.54559376599,556.406,65.5439,-0.0,-0.0191003,0.0268404,-0.487371,0.00834497,2.29851,2.40036,0.0,2,0,0,0
